direct_control,cyear,SP_ISIN,ids,scope1_abs,scope2_loc_abs,scope3_down_abs,scope3_up_abs
,2007,,100083,31063.0591560496,52046.02000000405,,1743481.80747694
,2008,,100083,24771.05025857267,50185.01999998913,,1554461.988298086
,2009,,100083,21271.75793716788,44959.99999997581,,1690026.200105397
480111.252604581,2010,DE0005200000,100083,21636.0883,41974.99999996977,,1584750.439167935
467356.103659485,2011,DE0005200000,100083,21315.4477,43214.00000000731,,1492892.195725915
466651.561337366,2012,DE0005200000,100083,21902.0295,51571.07031248147,,1475943.986659312
486471.313017892,2013,DE0005200000,100083,27098.6984,62073.16015624579,,1489473.980449867
492530.391943609,2014,DE0005200000,100083,35856.1272,64026.0000000013,,1498434.423718697
451264.403065771,2015,DE0005200000,100083,35784.95400000002,65326.19140629157,,1325556.950519363
484344.589,2016,DE0005200000,100083,39872.194,60219.0,,1515681.921
566957.645,2017,DE0005200000,100083,45495.07,60496.5,149.5249039484388,1843228.007
530473.011,2018,DE0005200000,100083,42950.978,58746.018,163.4677726722836,1756468.46
506065.169,2019,DE0005200000,100083,44601.444,60260.867,19.90523141453949,1624745.937
487834.267,2020,DE0005200000,100083,38929.4,57441.0,19.81148595023046,1576230.906
582613.14,2021,DE0005200000,100083,51077.0,59178.0,200.1591684416003,1917249.237
540307.881,2022,DE0005200000,100083,,,,
,2002,,100091,118365.6643253409,67674.31225000725,,889730.143676912
,2003,,100091,134975.7430552615,72000.54537115886,,809909.0556164015
,2004,,100091,113870.5082864457,56182.83847837857,,600671.4180205993
,2005,,100091,114797.1279969761,109883.5024547609,,552192.172295457
,2006,,100091,143651.4953804835,97423.60194926776,,497562.5444311708
,2007,,100091,203888.2080878493,86709.03000009117,,520653.6086867439
,2008,,100091,257166.35,27300.61000010107,,349351.5515500238
,2009,,100091,247915.79,46230.56357029636,,481448.2086747571
382076.787100453,2010,GB00B082RF11,100091,227856.9496,41492.15786029206,,372272.8570613578
348296.764431739,2011,GB00B082RF11,100091,227892.9922,38396.99999999814,,282706.8919559077
390845.424001781,2012,GB00B082RF11,100091,223671.9906000048,40261.00000003323,,400214.7338945787
305210.444372199,2013,GB00B082RF11,100091,191433.0331000001,26101.99999994662,,277384.1184553229
317036.685587118,2014,GB00B082RF11,100091,218069.2334,24875.99999999293,,264153.69692501
287121.716573304,2015,GB00B082RF11,100091,186067.0804000002,23035.99999999809,,268340.4714589303
347388.520945202,2016,GB00B082RF11,100091,214374.1385000002,21937.99999998235,,354503.558280863
370294.693611022,2017,GB00B082RF11,100091,209493.0374000002,18873.0000000611,8.014058613278372,434110.5236043444
357224.050795237,2018,GB00B082RF11,100091,215587.8972000002,17924.99999987382,5.822382897789327,399983.4421083735
359818.142218779,2019,GB00B082RF11,100091,227062.9165999994,18637.9999999849,0.7281515080885186,376245.1782941319
322091.004,2020,GB00B082RF11,100091,169755.0,15430.497,0.9280070628747126,426233.599
385853.298,2021,GB00B082RF11,100091,184438.0,15622.0,3.797775381550943,559422.45
386545.867,2022,GB00B082RF11,100091,,,,
,2002,,100095,143907.26744083,96306.38486122045,,377220.273002466
,2003,,100095,158874.9126634269,103884.7664936346,,389616.8482571094
,2004,,100095,182726.7936894208,114473.3712085463,,415721.4920626351
,2005,,100095,145481.0460761205,93424.56146855468,,336070.0265667097
,2006,,100095,180220.3022728855,114152.6607824682,,401232.7035379655
,2007,,100095,187179.4032225437,28264.0000001172,,413489.5724987035
,2008,,100095,125124.5960634444,31062.00000004213,,318793.8104933752
,2009,,100095,101871.75205064,34836.41289020431,,420215.1438297036
242653.58040817,2010,GB00B0744B38,100095,106573.9996389752,32763.14305227122,,399764.7297975986
246322.266338797,2011,GB00B0744B38,100095,105740.7781307704,31950.15212882814,,423607.9586920617
231203.605513169,2012,GB00B0744B38,100095,90905.3175405888,29473.46003588129,,425816.713944292
254787.578153353,2013,GB00B0744B38,100095,96227.3285669336,32770.30828842536,,474023.2653864708
259740.108661291,2014,GB00B0744B38,100095,101043.314,31203.99999996721,,502126.2973151777
261707.079930393,2015,GB00B0744B38,100095,99906.97796647208,33843.0000000472,,491132.1706758476
277177.907898575,2016,GB00B0744B38,100095,97541.11320000008,32200.99999991057,,605087.340481232
285735.308466446,2017,GB00B0744B38,100095,100899.5602971193,30450.69921867705,255.1242467333488,652324.3449113579
292887.164436645,2018,GB00B0744B38,100095,108325.2372657729,31614.99999995768,378.7704800198794,651212.3814184016
282286.144468204,2019,GB00B0744B38,100095,107344.1872768045,29593.99999995188,131.93595033478,598118.3868363423
278890.595,2020,GB00B0744B38,100095,98754.124,27421.0,578.2037663909754,651954.953
576614.86,2021,GB00B0744B38,100095,96251.29,25043.0,38.42883510383673,746121.023
285645.201,2022,GB00B0744B38,100095,,,,
,2004,,100102,210237.5259721858,99067.2828769728,,1636553.770633568
,2005,,100102,184804.9488322031,85463.09076640019,,1359176.662531088
,2006,,100102,229928.0229472855,104906.3486418501,,1589912.615729804
,2007,,100102,270553.0705329223,121055.8573676957,,1813567.41128216
,2008,,100102,260775.0167055724,121207.8015575446,,1650896.472236904
,2009,,100102,252774.9429739829,115588.3751256309,,1632784.816150357
622445.515457763,2010,DE0005909006,100102,200386.9087921838,89115.35031641468,,1253314.240286642
608536.658099298,2011,DE0005909006,100102,195526.9958094243,87723.64641286117,,1236763.49226101
558158.805765799,2012,DE0005909006,100102,180596.2900938836,81289.37586786089,,1097313.742313398
549142.048426212,2013,DE0005909006,100102,167752.4702074321,102507.4900556191,,1030985.328523292
490493.082007679,2014,DE0005909006,100102,150224.1716186336,101420.6592447372,,905873.6527746202
372816.6992326,2015,DE0005909006,100102,106531.9483203211,67071.72597399232,,744899.6502560689
187906.839501731,2016,DE0005909006,100102,62908.47450000005,36350.71875002526,,351767.1471351107
284215.655140443,2017,DE0005909006,100102,95282.3954531218,90340.38885651018,25.73644639569256,396590.7984977035
398381.648308456,2018,DE0005909006,100102,102141.1436191915,96100.33280549097,23.72990948402103,638017.803472247
220190.875625225,2019,DE0005909006,100102,54179.91449999987,86253.92634972557,6.558047146646361,324806.6505998648
139537.896,2020,DE0005909006,100102,38684.0,32360.09,6.255528602996771,279528.683
137868.367,2021,DE0005909006,100102,35608.0,23765.0,63.09004134779213,327978.534
115979.397,2022,DE0005909006,100102,,,,
,2002,,100103,17710070.80063396,147924.8333358155,,4574398.022590705
,2003,,100103,18801553.87370706,154853.3478882496,,4219652.026421571
,2004,,100103,20599595.63497617,319375.3137271195,,4856698.794105295
,2005,,100103,21311921.26905911,247502.9068867907,,3680010.364319921
,2006,,100103,21912394.10278773,441421.6199999619,,3514832.556275192
,2007,,100103,22333577.75784427,311466.6401914509,,4646261.940925133
,2008,,100103,24911306.37187862,289408.2602254289,,4033292.144577957
,2009,,100103,24228129.73,305946.990000012,,4344722.730738929
28571430.2625866,2010,DE0008232125,100103,26900400.83504114,346136.7500000981,,4492747.578626891
30694790.8628382,2011,DE0008232125,100103,28617834.3845,474016.0804192346,,4959505.774762816
