date,Market,High esg_sp,Low esg_sp,High customers,High suppliers,High employees,High communities,Low communities
2021-08-31,2.282023853619977,2.1221425067672866,2.1291514338817126,2.336571487376784,1.7446848042054854,1.9989956029047744,2.273013413766202,2.2662156288214166
2021-09-30,2.184353232685042,2.0255402396633935,2.031156947534729,2.2590026392256553,1.6606841584587402,1.9248271543458866,2.1708530496366585,2.1772856394110267
2021-10-29,2.330049593305134,2.1460291571771553,2.1468519135015875,2.3509402495641445,1.7266635976530829,2.0620104504921613,2.3017409220549365,2.289862572010571
2021-11-30,2.287642690706981,2.0765480114711226,2.0982486230274677,2.310602886206909,1.6902972462652601,1.988534696886437,2.2315224041313404,2.2231758296001036
2021-12-31,2.3677101848817252,2.2143307782526582,2.194369673090685,2.425942704839464,1.7958299743745991,2.0875776429528528,2.3464289765322395,2.3155226697533515
2022-01-31,2.231803620269514,2.1674467050130213,2.0302794320882875,2.352634284523735,1.7460924213287434,2.000947991160001,2.246725679310572,2.2152668466940755
2022-02-28,2.182257579899531,2.126142125963774,2.0613019348337924,2.368530799442935,1.7311655025258816,2.008579470194906,2.2764868648578385,2.2527602502539112
2022-03-31,2.2538356285202354,2.196714637463358,2.1363751133058497,2.4238848034329568,1.7847645156086114,2.081876396053215,2.3239653287272444,2.324033146428648
2022-04-29,2.048961969887746,2.055390143213375,1.9657275339281666,2.3240407095588047,1.6904189817862125,1.922127270378524,2.143240247755197,2.1821541480048454
2022-05-31,2.047117904114847,2.0862072939288328,2.0267364061067243,2.3254717605724444,1.7219050629188692,1.964728925156655,2.154826082883376,2.2289539521940833
2022-06-30,1.8751600001692,1.8740494731311557,1.82425913244172,2.107036393633484,1.5488566429798338,1.7459314649425643,1.946049900871325,1.9834276087474156
2022-07-29,2.049924912184969,1.9984597146593275,2.030171147247027,2.278835896079526,1.6687884452271835,1.9421768047927659,2.1257266370520833,2.2026168718002306
2022-08-31,1.9765376003287474,1.9600164070424833,1.9421610362845305,2.2374905666862728,1.632020650477355,1.8852791503433226,2.0735667181803996,2.117535465026826
2022-09-30,1.7964750249387986,1.7951059961699343,1.7812110977563798,2.070624229722962,1.4831389502546861,1.721053808647112,1.8798796691943855,1.9293265548701712
2022-10-31,1.9436063294812864,2.018891903166362,1.976515385954465,2.2705412753219347,1.6461423382922602,1.893280390611217,2.0730107636598007,2.151168782853877
2022-11-30,2.04292461291778,2.154444761639666,2.1098824257327955,2.4106610970733717,1.741100414846457,1.9934460850541889,2.221781701879973,2.2743271945360357
2022-12-30,1.9209620135265884,2.06251894597658,2.016085450078538,2.291205630793392,1.6697781224453223,1.900901374974216,2.117583557595248,2.162669130164131
